ruolo,nome,squadra,qt_a,and_med,and_gol,rating_fv,s1_pg,s1_mv,s1_mf,s1_gf,s1_rc,s1_rpiu,s1_rmeno,s1_ass,s1_asf,s1_amm,s1_esp,s1_au,s2_pg,s2_mv,s2_mf,s2_gf,s2_rc,s2_rpiu,s2_rmeno,s2_ass,s2_asf,s2_amm,s2_esp,s2_au
D,Hien,Atalanta,7,1,1,0.5857066273489531,28,5.91,5.86,1,0,0,0,0,,5,0,1,29,5.95,5.78,0,0,0,0,10,,10,0,0
D,Zappacosta,Atalanta,8,-1,-1,0.7077874544692498,35,6.06,6.3,3,0,0,0,1,,3,0,0,30,5.98,6.4,4,0,0,0,3,,3,0,0
D,Lucumì,Juventus,7,1,1,0.5855828767539982,28,5.88,5.89,1,0,0,0,0,,5,0,0,,,,,,,,,,,,
D,Miranda J.,Bologna,8,-1,1,0.6147841711398355,31,6,6.1,1,0,0,0,3,,6,0,0,29,6.05,6.16,0,0,0,0,4,,4,1,0
D,Mina,Cagliari,7,1,1,0.6016262816657514,26,6,6.17,2,0,0,0,1,,3,1,0,31,6.06,6.06,1,0,0,0,4,,4,1,0
,Norton-Cuffy,,,1,1,False,27,5.93,6.09,2,0,0,0,1,,3,1,0,10,5.7,5.7,0,0,0,0,0,,0,0,0
D,Celik,Juventus,8,1,1,0.6198897476774221,32,6.17,6.27,1,0,0,0,2,,2,1,0,30,5.78,5.77,0,0,0,0,5,,5,0,0
D,Bartesaghi,Milan,8,1,1,0.645950442503212,31,5.97,6.05,2,0,0,0,0,,3,0,1,3,5.33,5,0,0,0,0,0,,0,1,0
D,Spinazzola,Napoli,8,1,1,0.7063227629787856,30,6.17,6.55,3,0,0,0,3,,1,0,0,23,6.07,6.22,1,0,0,0,1,,1,0,0
D,Delprato,Parma,8,-1,-1,0.6550468627542202,35,5.91,6.01,2,0,0,0,0,,5,0,0,34,6.03,6.21,4,0,0,0,8,,8,0,0
D,Valeri,Parma,8,-1,-1,0.6187992596773172,34,6.06,6.09,0,0,0,0,2,,2,0,0,34,5.94,6.25,2,1,1,0,1,,1,0,0
D,Vojvoda,Udinese,9,1,1,0.6388734154449877,27,6.02,6.24,2,0,0,0,1,,2,0,0,27,5.96,6.04,1,0,0,0,6,,6,0,0
D,Kaiki,Como,6,,,0. N.D,,,,,,,,,,,,,,,,,,,,,,,,
D,Doekhi,Lazio,8,,,0. N.D,,,,,,,,,,,,,,,,,,,,,,,,
,Djimsiti,,,-1,-1,False,33,5.86,5.8,0,0,0,0,0,,4,0,0,33,5.88,5.88,1,0,0,0,6,,6,0,1
D,Obert,Cagliari,7,-1,-1,0.5569451005934076,34,5.88,5.82,0,0,0,0,3,,8,1,0,19,5.95,6.05,1,0,0,0,4,,4,0,0
D,Carlos Augusto,Inter,6,-1,-1,0.5983193887790844,28,6.12,6.16,1,0,0,0,1,,6,0,0,28,6.2,6.61,3,0,0,0,1,,1,0,0
D,Romagnoli,Lazio,6,1,-1,0.5583948746211078,32,6.03,5.92,0,0,0,0,0,,5,1,0,32,5.84,5.91,2,0,0,0,4,,4,2,0
D,Tiago Gabriel,Lecce,8,-1,1,0.6539463842853207,36,6,6.01,2,0,0,0,0,,7,0,1,2,6.25,6.25,0,0,0,0,0,,0,0,0
