id,titolarita,quota_minuti_2025_26,ballottaggio_con,rigorista,fonte_rigorista,calci_piazzati,corner,stato,rientro_stimato,fascia,nota_listone,consiglio_sos,accoppiata
5336,,0.443,,1,derivato_da_rigori_calciati_2025-26,,,,,,,,Atalanta Fiorentina Venezia
5365,,,,,,,,,,,,,Cagliari Como Lazio
5399,,,,,,,,,,,,,Lecce Venezia Atalanta
5422,,0.561,,0,derivato_da_rigori_calciati_2025-26,,,,,Scomm.,Subentrante,Bonus,"Frosinone, Bologna Cagliari"
5424,,,,,,,,,,,,,Atalanta Como Napoli
5427,,0.432,,0,derivato_da_rigori_calciati_2025-26,,,,,,aggiunto dal listone ufficiale del 7 settembre 2026,,
5436,,,,0,derivato_da_rigori_calciati_2025-26,,,,,Quarta,Scommessa,,Atalanta Como Napoli
5449,,0.453,,0,derivato_da_rigori_calciati_2025-26,,,,,Scommessa,Cartellini,Bonus,Cagliari Como Lazio
5453,,0.372,,0,derivato_da_rigori_calciati_2025-26,,,,,,Affidabile,Cartellini,Fiorentina Frosinone Genoa
5457,,0.46,,0,derivato_da_rigori_calciati_2025-26,,,,,Titolare,Inaffidabile,Cartellini,Parma Bologna Fiorentina
5462,,,,,,,,,,,,,Atalanta Fiorentina Venezia
5481,,0.084,,0,derivato_da_rigori_calciati_2025-26,,,,,Scommessa,Infortuni,Jolly,Cagliari Monza Bologna
5485,,,,,,,,,,,aggiunto dal listone ufficiale del 7 settembre 2026,,
5498,,0.196,,0,derivato_da_rigori_calciati_2025-26,,,,,,Jolly,Infortuni,Atalanta Lecce Napoli
5500,,0.509,,0,derivato_da_rigori_calciati_2025-26,,,,,Scomm.,Scommessa,Subentrante,Roma Fiorentina Torino
5504,,0.792,,0,derivato_da_rigori_calciati_2025-26,,,,,Titolare,Cartellini,Affidabile,Parma Bologna Fiorentina
5507,,,,,,,,,,Quarta,Titolare,Affidabile,Cagliari Monza Bologna
5514,,0.941,,0,derivato_da_rigori_calciati_2025-26,,,,,Terza,Titolare,Cartellini,Juventus Bologna Como
5520,,0.832,,0,derivato_da_rigori_calciati_2025-26,,,,,jolly,Cartellini,Titolare,Torino Genoa Roma
5526,,0.538,,0,derivato_da_rigori_calciati_2025-26,,,,,Semi-Top,Cartellini,Infortuni,Frosinone Bologna Cagliari
5527,,0.384,,0,derivato_da_rigori_calciati_2025-26,,,,,Scommessa,Bonus,,Genoa Lecce Milan
5544,,0.522,,2,derivato_da_rigori_calciati_2025-26,,,,,,aggiunto dal listone ufficiale del 7 settembre 2026,,
5555,,0.551,,0,derivato_da_rigori_calciati_2025-26,,,,,Quarta,Inaffidabile,,Genoa Lecce Milan
5559,,0.808,,1,derivato_da_rigori_calciati_2025-26,,,,,Semi-Top,Bonus,Cartellini,Fiorentina Frosinone Genoa
5562,,0.725,,0,derivato_da_rigori_calciati_2025-26,,,,,,Affidabile,Cartellini,Torino Genoa Roma
5578,,0.287,,0,derivato_da_rigori_calciati_2025-26,,,,,jolly,Infortuni,Mod.,Frosinone Bologna Cagliari
5585,,0.438,,1,derivato_da_rigori_calciati_2025-26,,,,,Top,Bonus,Affidabile,Lazio Napoli Juventus
5589,,0.722,,0,derivato_da_rigori_calciati_2025-26,,,,,Terza,Cartellini,Affidabile,Lazio Napoli Juventus
5603,,0.855,,0,derivato_da_rigori_calciati_2025-26,,,,,Scommessa,Cartellini,Infortuni,Cagliari Como Lazio
5620,,0.432,,0,derivato_da_rigori_calciati_2025-26,,,,,jolly,Bonus,Infortuni,Roma Genoa Torino
5637,,0.616,,1,derivato_da_rigori_calciati_2025-26,,,,,Semi-Top,Infortuni,Bonus,Genoa Lecce Milan
5641,,,,,,,,,,Semi-Top,Scommessa,Bonus,Fiorentina Frosinone Genoa
5672,,0.368,,0,derivato_da_rigori_calciati_2025-26,,,,,,aggiunto dal listone ufficiale del 7 settembre 2026,,
5674,,0.516,,0,derivato_da_rigori_calciati_2025-26,,,,,Quarta,Bonus,Affidabile,Cagliari Monza Bologna
5675,,,,,,,,,,Quarta,Titolare,Bonus,Atalanta Lecce Napoli
5678,,0.261,,0,derivato_da_rigori_calciati_2025-26,,,,,jolly,Bonus,Infortuni,Atalanta Lecce Napoli
5680,,,,,,,,,,Quarta,,,Torino Genoa Roma
5685,,0.527,,0,derivato_da_rigori_calciati_2025-26,,,,,,Inaffidabile,,Torino Genoa Roma
5687,,0.9,,1,derivato_da_rigori_calciati_2025-26,,,,,Semi-Top,Bonus,Rigorista,Juventus Lazio Lecce
5694,,,,,,,,,,Terza,Scommessa,Bonus,Cagliari Como Lazio
5695,,,,,,,,,,Quarta,Titolare,Bonus,Cagliari Monza Bologna
5701,,0.823,,0,derivato_da_rigori_calciati_2025-26,,,,,Quarta,Cartellini,Titolare,Atalanta Fiorentina Venezia
5707,,,,,,,,,,R,,,Genoa Lecce Milan
5725,,,,,,,,,,,,,Atalanta Como Napoli
5734,,0.645,,0,derivato_da_rigori_calciati_2025-26,,,,,Scomm.,Affidabile,Bonus,Lazio Napoli Juventus
5735,,0.31,,0,derivato_da_rigori_calciati_2025-26,,,,,Scomm.,Subentrante,Infortuni,Inter Parma Bologna
5739,,0.525,,0,derivato_da_rigori_calciati_2025-26,,,,,Quarta,Cartellini,Infortuni,Inter Parma Cagliari
5742,,,,,,,,,,Quarta,,,Juventus Bologna Como
5750,,0.769,,0,derivato_da_rigori_calciati_2025-26,,,,,Semi-Top,Cartellini,Bonus,Juventus Bologna Como
5751,,,,,,,,,,jolly,Scommessa,,Juventus Lazio Lecce
5757,,,,,,,,,,titolare,,,Atalanta Como Napoli
5761,,0.096,,0,derivato_da_rigori_calciati_2025-26,,,,,Scomm.,Scommessa,Bonus,Torino Genoa Roma
5791,,0.904,,0,derivato_da_rigori_calciati_2025-26,,,,,Titolare,,Affidabile,Juventus Bologna Como
5792,,0.659,,2,derivato_da_rigori_calciati_2025-26,,,,,Terza,Affidabile,Titolare,"Frosinone, Bologna Cagliari"
5800,,0.67,,1,derivato_da_rigori_calciati_2025-26,,,,,Semi-Top,Bonus,Affidabile,Roma Fiorentina Torino
5812,,0.884,,0,derivato_da_rigori_calciati_2025-26,,,,,Scommessa,Mod.,,Inter Parma Cagliari
5813,,0.171,,0,derivato_da_rigori_calciati_2025-26,,,,,,aggiunto dal listone ufficiale del 7 settembre 2026,,
5820,,0.513,,0,derivato_da_rigori_calciati_2025-26,,,,,Scommessa,Inaffidabile,,Genoa Lecce Milan
5823,,0.23,,0,derivato_da_rigori_calciati_2025-26,,,,,Terza,Affidabile,Bonus,Juventus Bologna Como
5831,,0.316,,0,derivato_da_rigori_calciati_2025-26,,,,,Scommessa,Cartellini,Bonus,Torino Genoa Roma
5833,,0.73,,0,derivato_da_rigori_calciati_2025-26,,,,,Semi-Top,Titolare,Mod.,Inter Parma Cagliari
5838,,,,,,,,,,Quarta,Bonus,Cartellini,Lecce Venezia Atalanta
5840,,0.401,,0,derivato_da_rigori_calciati_2025-26,,,,,Scommessa,Jolly,,Roma Bologna Frosinone
5841,,1.0,,0,derivato_da_rigori_calciati_2025-26,,,,,0° TOP A,Titolare,Mod.,Lazio Napoli Juventus
5844,,0.716,,0,derivato_da_rigori_calciati_2025-26,,,,,Scomm.,Bonus,Infortuni,Inter Parma Bologna
5851,,0.563,,0,derivato_da_rigori_calciati_2025-26,,,,,titolare,Inaffidabile,Bonus,Inter Parma Bologna
5858,,0.461,,0,derivato_da_rigori_calciati_2025-26,,,,,Titolare,Infortuni,Affidabile,Atalanta Lecce Napoli
5862,,0.771,,0,derivato_da_rigori_calciati_2025-26,,,,,Semi-Top,Bonus,Mod.,Lecce Sassuolo Milan
5872,,0.038,,0,derivato_da_rigori_calciati_2025-26,,,,,,Scommessa,,Cagliari Monza Bologna
5876,,0.776,,0,derivato_da_rigori_calciati_2025-26,,,,,,aggiunto dal listone ufficiale del 7 settembre 2026,,
5877,,0.51,,0,derivato_da_rigori_calciati_2025-26,,,,,jolly,,Bonus,Milan Sassuolo Juventus
5878,,,,,,,,,,Quarta,Bonus,,Lecce Venezia Atalanta
5880,,,,,,,,,,,Bonus,Subentrante,Lecce Venezia Atalanta
5882,,,,,,,,,,Scomm.,Affidabile,,Lecce Venezia Atalanta
5885,,0.923,,0,derivato_da_rigori_calciati_2025-26,,,,,jolly,Bonus,Infortuni,Cagliari Como Lazio
5888,,0.576,,0,derivato_da_rigori_calciati_2025-26,,,,,Quarta,Inaffidabile,Subentrante,Juventus Lazio Lecce
5918,,0.29,,0,derivato_da_rigori_calciati_2025-26,,,,,,Scommessa,Subentrante,"Frosinone, Bologna Cagliari"
5946,,,,,,,,,,Quarta,Scommessa,,Juventus Bologna Como
5951,,,,,,,,,,Top,Affidabile,Bonus,Torino Genoa Roma
5982,,,,,,,,,,Semi-Top,Bonus,Scommessa,Milan Sassuolo Juventus
5994,,0.392,,0,derivato_da_rigori_calciati_2025-26,,,,,Scommessa,Inaffidabile,,Genoa Lecce Milan
5995,,0.645,,0,derivato_da_rigori_calciati_2025-26,,,,,Terza,Bonus,Affidabile,"Frosinone, Bologna Cagliari"
5998,,0.48,,0,derivato_da_rigori_calciati_2025-26,,,,,Scomm.,Scommessa,Bonus,Atalanta Como Napoli
6005,,0.301,,0,derivato_da_rigori_calciati_2025-26,,,,,,Inaffidabile,,Juventus Lazio Lecce
6010,,0.164,,0,derivato_da_rigori_calciati_2025-26,,,,,Quarta,Infortuni,Bonus,Atalanta Fiorentina Venezia
6015,,0.261,,0,derivato_da_rigori_calciati_2025-26,,,,,Scomm.,Infortuni,Affidabile,Parma Bologna Fiorentina
6020,,0.81,,0,derivato_da_rigori_calciati_2025-26,,,,,Titolare,Scommessa,Subentrante,Juventus Bologna Como
6021,,,,,,,,,,jolly,Mod.,,Genoa Lecce Milan
6024,,,,0,derivato_da_rigori_calciati_2025-26,,,,,,,,Inter Parma Bologna
6039,,0.077,,0,derivato_da_rigori_calciati_2025-26,,,,,Scommessa,Jolly,,Torino Genoa Roma
6042,,0.667,,0,derivato_da_rigori_calciati_2025-26,,,,,jolly,Mod.,Cartellini,Torino Genoa Roma
6046,,0.57,,0,derivato_da_rigori_calciati_2025-26,,,,,Scommessa,Cartellini,Mod.,Frosinone Bologna Cagliari
6047,,0.529,,0,derivato_da_rigori_calciati_2025-26,,,,,,aggiunto dal listone ufficiale del 7 settembre 2026,,
6052,,0.814,,2,derivato_da_rigori_calciati_2025-26,,,,,Semi-Top,Titolare,Affidabile,Roma Bologna Frosinone
6054,,0.522,,0,derivato_da_rigori_calciati_2025-26,,,,,,,,Atalanta Lecce Napoli
6060,,0.776,,0,derivato_da_rigori_calciati_2025-26,,,,,Terza,Bonus,Titolare,Inter Parma Bologna
6145,,0.289,,0,derivato_da_rigori_calciati_2025-26,,,,,,,,Lecce Venezia Atalanta
6149,,0.031,,0,derivato_da_rigori_calciati_2025-26,,,,,,,,Lecce Sassuolo Milan
6151,,0.806,,0,derivato_da_rigori_calciati_2025-26,,,,,Quarta,Cartellini,Affidabile,Fiorentina Frosinone Genoa
6164,,0.661,,0,derivato_da_rigori_calciati_2025-26,,,,,Scomm.,Titolare,,Juventus Bologna Como
6170,,0.52,,0,derivato_da_rigori_calciati_2025-26,,,,,Titolare,Inaffidabile,Subentrante,Juventus Lazio Lecce
6189,,,,0,derivato_da_rigori_calciati_2025-26,,,,,,aggiunto dal listone ufficiale del 7 settembre 2026,,
6190,,0.369,,0,derivato_da_rigori_calciati_2025-26,,,,,Scomm.,Scommessa,Subentrante,Lazio Napoli Juventus
6191,,0.176,,0,derivato_da_rigori_calciati_2025-26,,,,,,Affidabile,Cartellini,Roma Fiorentina Torino
6202,,0.49,,0,derivato_da_rigori_calciati_2025-26,,,,,Scommessa,Mod.,Jolly,Roma Bologna Frosinone
6204,,,,,,,,,,Quarta,Scommessa,Bonus,Atalanta Como Napoli
6206,,0.339,,0,derivato_da_rigori_calciati_2025-26,,,,,,Affidabile,Subentrante,Lecce Sassuolo Milan
6207,,0.129,,0,derivato_da_rigori_calciati_2025-26,,,,,,Subentrante,,Lecce Sassuolo Milan
6212,,0.125,,0,derivato_da_rigori_calciati_2025-26,,,,,,,,Genoa Lecce Milan
6215,,0.111,,0,derivato_da_rigori_calciati_2025-26,,,,,,Scommessa,Subentrante,Roma Bologna Frosinone
6217,,0.563,,0,derivato_da_rigori_calciati_2025-26,,,,,Semi-Top,Bonus,Mod.,Milan Sassuolo Juventus
6218,,0.249,,0,derivato_da_rigori_calciati_2025-26,,,,,Scomm.,Scommessa,Affidabile,Juventus Lazio Lecce
6219,,0.04,,0,derivato_da_rigori_calciati_2025-26,,,,,,Affidabile,,Inter Parma Bologna
6225,,,,0,derivato_da_rigori_calciati_2025-26,,,,,,,,Atalanta Lecce Napoli
6229,,,,0,derivato_da_rigori_calciati_2025-26,,,,,Quarta,Scommessa,Infortuni,Lecce Sassuolo Milan
6238,,,,,,,,,,Quarta,Bonus,,Atalanta Como Napoli
6241,,,,,,,,,,,,,Atalanta Como Napoli
6243,,0.369,,0,derivato_da_rigori_calciati_2025-26,,,,,,Subentrante,,Atalanta Fiorentina Venezia
6244,,,,,,,,,,,aggiunto dal listone ufficiale del 7 settembre 2026,,
6245,,,,0,derivato_da_rigori_calciati_2025-26,,,,,,aggiunto dal listone ufficiale del 7 settembre 2026,,
6246,,0.296,,0,derivato_da_rigori_calciati_2025-26,,,,,,,,Inter Parma Bologna
6248,,,,,,,,,,3° Fascia,Titolare,Mod.,Cagliari Monza Bologna
6252,,0.594,,0,derivato_da_rigori_calciati_2025-26,,,,,Quarta,Bonus,Infortuni,Lecce Venezia Atalanta
6271,,0.28,,0,derivato_da_rigori_calciati_2025-26,,,,,,aggiunto dal listone ufficiale del 7 settembre 2026,,
6274,,0.135,,0,derivato_da_rigori_calciati_2025-26,,,,,Semi-Top,Scommessa,Bonus,Milan Sassuolo Juventus
6294,,0.548,,0,derivato_da_rigori_calciati_2025-26,,,,,Scomm.,Scommessa,,Cagliari Como Lazio
6320,,,,,,,,,,Terza,,,Roma Genoa Torino
6344,,,,,,,,,,2° Fascia C,,,Fiorentina Frosinone Genoa
6372,,,,,,,,,,Scomm.,Scommessa,Bonus,Inter Parma Cagliari
6397,,,,,,,,,,Top,Titolare,Bonus,Inter Parma Cagliari
