id,stagione,squadra,partite,minuti,gol,assist,xg,npxg,xa,tiri,passaggi_chiave,xg_chain,xg_buildup,posizione_fonte
5701,2024-25,Cagliari,21,1072,1,1,1.0165,1.0165,0.4557,9,10,3.5124,2.221,D M S
5701,2025-26,Cagliari,35,2813,0,3,1.3562,1.3562,3.7093,10,26,9.107,7.3746,D S
5725,2024-25,Como,4,43,0,0,0.0118,0.0118,0.0,1,0,0.0909,0.0909,S
5734,2023-24,Frosinone,36,3173,11,3,11.0021,6.4343,6.4021,84,81,18.0896,9.6473,F M
5734,2024-25,Roma,27,1807,5,5,3.6972,3.6972,6.4494,42,51,14.1389,6.3391,D F M S
5734,2025-26,Roma,33,2207,6,5,4.6787,4.6787,4.4577,52,45,15.8587,9.501,F M S
5735,2023-24,Sassuolo,22,606,1,0,0.4367,0.4367,1.4256,12,16,1.7139,0.7558,F M S
5735,2025-26,Sassuolo,24,1060,2,4,1.749,1.749,2.8961,21,23,6.1812,2.2634,F M S
5739,2023-24,Genoa,29,2383,0,1,0.5454,0.5454,0.9032,11,5,3.9913,3.6823,D S
5739,2024-25,Genoa,25,2132,3,0,2.7675,2.7675,0.2701,13,3,6.3299,6.264,D S
5739,2025-26,Milan,26,1797,1,1,0.7966,0.7966,0.6499,7,5,8.047,7.8924,D S
5750,2023-24,Napoli,25,1611,1,0,1.0278,1.0278,0.1085,7,3,5.1027,5.0324,D S
5750,2025-26,Genoa,30,2631,5,1,2.9207,2.9207,0.8718,22,10,6.932,5.8805,D
5757,2023-24,Genoa | Monza,6,117,0,0,0.0,0.0,0.0,0,0,0.0827,0.0827,D S
5761,2025-26,Juventus,19,330,0,0,0.7612,0.7612,1.026,19,9,2.2295,1.3333,S
5791,2023-24,Genoa,37,3154,2,5,1.5405,1.5405,2.2739,30,14,8.2108,5.892,D M S
5791,2024-25,Genoa,35,3115,2,0,1.6894,1.6894,0.7125,31,14,8.6209,6.6557,M
5791,2025-26,Genoa,36,3093,1,0,0.2742,0.2742,1.3583,8,14,6.0386,4.7931,M S
5792,2023-24,Atalanta,36,2888,6,1,4.5079,4.5079,1.5685,38,18,16.615,12.2609,M S
5792,2024-25,Atalanta,37,2898,4,1,4.3372,4.3372,5.6898,39,37,22.2926,16.0172,M S
5792,2025-26,Atalanta,30,2253,2,1,5.5464,4.7851,2.2104,35,25,16.2554,12.2443,M S
5800,2023-24,Genoa,35,3034,14,4,10.5829,6.7764,5.5032,56,79,11.8515,3.6251,F M S
5800,2024-25,Fiorentina,24,1284,6,1,4.8458,3.3232,1.8325,27,15,7.4428,3.0833,F M S
5800,2025-26,Fiorentina,33,2290,5,4,5.8043,3.5204,3.7848,41,31,10.8434,6.0542,F M S
5812,2023-24,Milan | Verona,21,1361,0,1,0.3425,0.3425,1.1813,8,17,3.9119,2.6313,D M S
5812,2024-25,Milan,13,527,0,0,0.1483,0.1483,0.0855,3,2,1.2648,1.1628,D M S
5812,2025-26,Cremonese,36,3023,2,0,2.3331,2.3331,0.6407,14,11,4.2043,3.7367,D S
5813,2023-24,Juventus,25,1118,1,1,1.325,1.325,1.4678,20,25,4.8875,2.9446,F M S
5813,2024-25,Genoa,25,1718,3,3,3.4912,3.4912,2.2382,24,22,6.6093,2.1041,M S
5813,2025-26,Juventus,23,585,1,2,1.628,1.628,1.2492,18,11,5.1148,2.6716,M S
5820,2025-26,Udinese,28,1756,0,1,0.9957,0.9957,1.549,13,11,4.4856,2.8581,D S
5823,2023-24,Empoli | Roma,27,1261,2,0,2.679,2.679,2.0064,29,17,5.8122,1.8397,F M S
5823,2024-25,Roma,31,777,1,1,1.9191,1.9191,1.3113,20,10,5.2209,2.457,M S
5823,2025-26,Genoa | Roma,18,787,1,2,1.8793,1.8793,0.9014,20,14,4.4183,2.2227,F M S
5831,2023-24,Juventus,32,2654,4,0,6.3019,6.3019,2.3319,35,10,9.019,6.1769,D S
5831,2024-25,Juventus,30,2207,1,0,2.6438,2.6438,0.2837,25,6,6.3888,5.9206,D S
5831,2025-26,Juventus,21,1081,2,0,1.9631,1.9631,0.2072,14,3,2.4201,2.0658,D S
5833,2023-24,Lazio,21,1822,0,0,0.4284,0.4284,0.646,8,7,6.5682,6.3829,D
5833,2024-25,Lazio,32,2740,1,0,0.9576,0.9576,0.7199,15,15,11.0419,10.8829,D S
5833,2025-26,Lazio,31,2498,0,0,1.6254,1.6254,0.7183,12,5,6.2362,5.6552,D
5838,2023-24,Monza,35,2006,0,2,1.2049,1.2049,2.6631,25,23,9.2748,6.3048,D S
5838,2024-25,Monza,21,1497,3,0,1.888,1.888,1.6815,15,18,6.6602,3.367,D M S
5840,2023-24,Napoli,23,1573,1,1,0.8126,0.8126,1.107,12,19,7.6499,6.4848,D S
5840,2024-25,Napoli,32,2360,0,2,1.0978,1.0978,1.8172,16,25,13.3848,11.2923,D S
5840,2025-26,Napoli,25,1370,0,0,1.7913,1.7913,0.5973,8,10,7.2172,5.7409,D S
5841,2023-24,Roma,15,1350,0,0,0.0,0.0,0.0396,0,1,1.6329,1.6329,GK
5841,2024-25,Roma,38,3420,0,0,0.0803,0.0803,0.0,1,0,7.2524,7.2524,GK
5841,2025-26,Roma,38,3420,0,0,0.0,0.0,0.0,0,0,5.1393,5.1393,GK
5844,2023-24,Sassuolo,34,2439,6,1,4.5745,4.5745,1.9407,42,37,8.2213,3.5457,M S
5844,2025-26,Sassuolo,32,2450,4,4,6.6449,6.6449,2.6295,43,32,16.1282,8.9037,F M S
5851,2023-24,Sassuolo | Verona,28,2205,0,2,0.5909,0.5909,1.2934,13,19,4.7801,3.4591,D M S
5851,2025-26,Sassuolo,30,1924,0,0,0.7494,0.7494,1.5035,11,15,5.6392,4.2567,D S
5858,2023-24,Bologna,31,2725,6,3,6.6091,6.6091,3.1291,60,33,14.555,7.7316,M
5858,2024-25,Bologna,16,974,1,1,0.9485,0.1872,1.5488,6,14,5.3289,3.8222,M S
5858,2025-26,Bologna,27,1576,1,0,0.6512,0.6512,1.5658,13,16,5.2001,4.3743,M S
5862,2023-24,Frosinone,16,1173,0,1,1.3665,1.3665,2.4136,20,24,5.2322,2.0419,D M S
5862,2024-25,Parma,35,2883,2,6,1.6036,0.8423,5.6061,27,36,9.6624,4.9457,D M S
5862,2025-26,Parma,34,2637,0,2,0.669,0.669,3.7773,23,51,6.4828,4.9691,D M S
5872,2024-25,Lecce,21,1156,0,4,1.3022,1.3022,0.9663,16,22,2.9387,1.4569,M S
5872,2025-26,Lecce,8,129,0,0,0.2772,0.2772,0.1027,3,3,0.3372,0.0512,M S
5876,2023-24,Monza,33,2872,0,0,0.0,0.0,0.0,0,0,5.7258,5.7258,GK
5876,2024-25,Juventus,33,2970,0,0,0.0,0.0,0.3084,0,1,3.5321,3.5321,GK
5876,2025-26,Juventus,30,2654,0,0,0.0,0.0,0.0,0,0,3.4839,3.4839,GK S
5877,2023-24,Inter,37,1659,0,3,1.1028,1.1028,3.1643,22,19,12.2802,9.8126,D S
5877,2024-25,Inter,29,1658,3,2,3.479,3.479,1.9168,24,9,9.3763,7.5486,D M S
5877,2025-26,Inter,34,1745,1,1,1.9602,1.9602,1.1391,20,11,13.0393,11.1729,D S
5878,2023-24,Monza,38,2751,8,4,5.1956,5.1956,6.0153,65,57,16.8332,8.73,F M S
5878,2024-25,Fiorentina,25,1469,2,1,3.3542,3.3542,1.1401,36,17,7.35,3.4853,M S
5880,2023-24,Monza,22,1606,0,1,1.4754,1.4754,3.1463,28,31,7.0596,3.7341,D F M S
5880,2024-25,Monza,21,1101,1,1,0.5167,0.5167,2.296,11,13,2.599,0.5054,D F M S
5882,2023-24,Monza,34,2084,4,3,5.2517,5.2517,3.4416,38,34,11.0321,5.3336,D F M S
5882,2024-25,Monza,31,2121,5,2,4.9406,4.9406,1.9611,42,21,9.0505,3.2416,F M S
5885,2023-24,Fiorentina,9,522,0,0,0.0843,0.0843,0.7045,2,10,1.8383,1.2679,D S
5885,2024-25,Fiorentina,35,3126,0,5,1.4069,1.4069,4.7983,27,37,13.0662,9.1976,D M
5885,2025-26,Fiorentina,36,3158,1,2,1.3771,1.3771,5.3877,25,51,14.5283,10.4554,D M
5888,2024-25,Torino,15,1030,1,1,1.2501,1.2501,0.3902,14,7,3.1192,1.9035,F M S
5888,2025-26,Torino,33,1971,6,0,4.652,4.652,1.8107,35,17,10.0286,6.9228,M S
5918,2025-26,Atalanta,25,993,2,1,2.4879,2.4879,2.2797,25,13,7.9078,3.8877,M S
5951,2024-25,Juventus,16,1175,8,1,4.8074,4.0461,1.423,26,17,6.1035,1.3632,F M S
5982,2023-24,Genoa,16,836,0,0,0.0895,0.0895,0.2374,2,6,0.6684,0.4553,D M S
5994,2023-24,Udinese,1,15,0,0,0.0,0.0,0.0,0,0,0.0466,0.0466,S
