id,stagione,squadra,ruolo,minuti,pg,mv,mf,gf,gs,rp,rc,rpiu,rmeno,ass,amm,esp,au
2741,2024-25,Monza,C,866,11,6.09,6,0,0,0,0,0,0,0,2,0,0
2764,2024-25,Inter,A,2605,31,6.19,7.44,12,0,0,0,0,0,3,1,0,0
2764,2025-26,Inter,A,2205,30,6.42,8.25,17,0,0,0,0,0,6,4,0,0
2765,2024-25,Bologna,A,1987,28,6.14,6.84,6,0,0,0,0,0,2,1,0,0
2765,2025-26,Bologna,C,1391,22,5.91,6.61,5,0,0,0,0,0,1,1,0,0
2766,2024-25,Fiorentina,C,665,18,6.03,6.22,2,0,0,0,0,0,1,6,1,0
2766,2025-26,Udinese,C,2308,31,6.26,6.77,5,0,0,0,0,0,5,8,0,0
2788,2024-25,Juventus,D,540,6,6.5,6.42,0,0,0,0,0,0,0,1,0,0
2788,2025-26,Juventus,D,2187,26,6.33,6.81,4,0,0,0,0,0,3,5,0,0
2809,2024-25,Como,P,,0,0,0,0,0,0,0,0,0,0,0,0,0
2809,2025-26,Como,P,,0,0,0,0,0,0,0,0,0,0,0,0,0
2814,2024-25,Lazio,P,2610,29,5.98,4.53,0,42,0,0,0,0,0,0,0,0
2814,2025-26,Lazio,P,2430,27,6.26,5.35,0,27,1,0,0,0,0,1,0,0
2815,2024-25,Fiorentina,P,,3,6.17,5.17,0,3,0,0,0,0,0,0,0,0
2815,2025-26,Milan,P,,2,6,6,0,0,0,0,0,0,0,0,0,0
2816,2024-25,Napoli,D,3330,37,6.15,6.36,3,0,0,0,0,0,2,6,0,0
2816,2025-26,Napoli,D,2278,26,6.08,6.33,2,0,0,0,0,0,1,1,0,0
2832,2025-26,Juventus,A,666,13,6.19,7.15,4,0,0,0,0,0,1,1,0,0
2845,2024-25,Napoli,P,,0,0,0,0,0,0,0,0,0,0,0,0,0
2845,2025-26,Napoli,P,8,0,0,0,0,0,0,0,0,0,0,0,0,0
2848,2024-25,Inter,C,1194,23,6.02,6.72,5,0,0,0,0,0,1,1,0,0
2848,2025-26,Inter,C,523,14,5.89,5.89,0,0,0,0,0,0,0,0,0,0
4137,2025-26,Como,D,1946,25,6.14,6.1,1,0,0,0,0,0,0,8,0,0
4159,2025-26,Inter,D,2814,32,6.28,6.41,2,0,0,0,0,0,0,4,0,0
4177,2024-25,Inter,D,1581,22,6.05,6,0,0,0,0,0,0,1,4,0,0
4177,2025-26,Inter,D,90,1,6.5,6.5,0,0,0,0,0,0,0,0,0,0
4179,2024-25,Juventus,A,1789,23,5.96,6.37,3,0,0,0,0,0,2,3,0,0
4179,2025-26,Juventus,A,14,0,0,0,0,0,0,0,0,0,0,0,0,0
4199,2024-25,Milan,C,1022,18,5.86,5.78,0,0,0,0,0,0,0,3,0,0
4199,2025-26,Milan,C,1122,21,6.1,6.52,3,0,0,0,0,0,1,2,0,0
4210,2024-25,Cagliari,D,2590,31,6.06,6.06,1,0,0,0,0,0,0,4,1,0
4210,2025-26,Cagliari,D,2162,26,6,6.17,2,0,0,0,0,0,1,3,1,0
4220,2024-25,Napoli,C,2862,35,6.41,6.97,6,0,0,0,0,0,4,5,0,0
4220,2025-26,Napoli,C,1253,18,6.17,6.86,4,0,0,0,0,0,1,1,0,0
4236,2025-26,Sassuolo,P,2880,32,6.08,4.77,0,43,1,0,0,0,0,4,0,0
4263,2024-25,Udinese,D,1164,16,5.84,6.22,2,0,0,0,0,0,0,0,0,0
4263,2025-26,Udinese,D,2273,28,5.98,6.18,3,0,0,0,0,0,0,5,1,0
4287,2024-25,Napoli,C,2678,31,6.05,6.03,0,0,0,0,0,0,1,3,0,0
4287,2025-26,Napoli,C,2442,31,6.05,6.1,1,0,0,0,0,0,0,3,0,0
4312,2024-25,Milan,P,3296,37,6.18,5.14,0,41,1,0,0,0,0,1,0,0
4312,2025-26,Milan,P,3296,37,6.26,5.42,0,35,2,0,0,0,0,4,0,0
4317,2024-25,Roma,D,3420,38,6.05,6.03,0,0,0,0,0,0,0,2,0,0
4317,2025-26,Roma,D,2686,31,6.08,6.32,3,0,0,0,0,0,1,5,0,0
4349,2024-25,Venezia,C,2883,35,6.2,6.53,4,0,0,0,0,0,3,5,1,0
4349,2025-26,Parma,C,1456,23,5.89,6.02,0,0,0,0,0,0,4,4,0,0
4359,2024-25,Cagliari,A,3180,37,6,6.76,10,0,0,1,1,0,1,6,0,0
4359,2025-26,Fiorentina,A,1653,27,5.78,6.24,4,0,0,0,0,0,1,1,0,0
4360,2024-25,Cagliari,P,1945,22,6.2,5.16,0,23,0,0,0,0,0,0,0,0
4360,2025-26,Cagliari,P,3420,38,6.29,4.87,0,53,0,0,0,0,0,2,0,0
4364,2024-25,Cagliari,C,976,27,6.04,6.41,2,0,0,0,0,0,4,0,0,0
4364,2025-26,Cagliari,C,1920,32,6.06,6.31,2,0,0,0,0,0,4,4,0,0
4371,2024-25,Napoli,A,1110,18,6.19,7.22,6,0,0,0,0,0,1,1,0,0
4371,2025-26,Atalanta,A,784,13,6.12,6.88,3,0,0,0,0,0,1,0,0,0
4374,2024-25,Torino,D,1853,28,5.73,5.64,0,0,0,0,0,0,0,6,0,0
4374,2025-26,Sassuolo,D,2871,34,5.81,5.74,0,0,0,0,0,0,1,7,0,0
