id,nome,prezzo_medio_per_1000,mediana_per_1000,p25,p75,n_campioni,partecipanti,fonte
4349,NICOLUSSI CAVIGLIA,2.5,,,,,,tabella_prezzi_medi_asta_seed
4359,PICCOLI,27.400000000000002,,,,,,tabella_prezzi_medi_asta_seed
4360,CAPRILE,16.2,,,,,,tabella_prezzi_medi_asta_seed
4364,GAETANO,13.899999999999999,,,,,,tabella_prezzi_medi_asta_seed
4371,RASPADORI,70,,,,,,tabella_prezzi_medi_asta_seed
4374,WALUKIEWICZ,2.4,,,,,,tabella_prezzi_medi_asta_seed
4375,TERZIC,2.2,,,,,,tabella_prezzi_medi_asta_seed
4378,RANIERI L.,2.5,,,,,,tabella_prezzi_medi_asta_seed
4387,ADORANTE,2.3,,,,,,tabella_prezzi_medi_asta_seed
4401,GABBIA,6.2,,,,,,tabella_prezzi_medi_asta_seed
4409,RRAHMANI,41.9,,,,,,tabella_prezzi_medi_asta_seed
4431,CARNESECCHI,84.5,,,,,,tabella_prezzi_medi_asta_seed
4433,ZORTEA,7.9,,,,,,tabella_prezzi_medi_asta_seed
4436,CAMBIAGHI,5.7,,,,,,tabella_prezzi_medi_asta_seed
4459,ROVELLA,2.7,,,,,,tabella_prezzi_medi_asta_seed
4463,ESPOSITO SE.,40.7,,,,,,tabella_prezzi_medi_asta_seed
4465,FAGIOLI,3.7,,,,,,tabella_prezzi_medi_asta_seed
4468,BLEVE,1.8,,,,,,tabella_prezzi_medi_asta_seed
4479,ELMAS,4.3,,,,,,tabella_prezzi_medi_asta_seed
4485,THIAM,2.3,,,,,,tabella_prezzi_medi_asta_seed
4502,GALLO,4.5,,,,,,tabella_prezzi_medi_asta_seed
4518,RUSSO A.,1.8,,,,,,tabella_prezzi_medi_asta_seed
4657,CELIK,16.299999999999997,,,,,,tabella_prezzi_medi_asta_seed
4664,BADIASHILE,7.9,,,,,,tabella_prezzi_medi_asta_seed
4705,BALERDI,2.7,,,,,,tabella_prezzi_medi_asta_seed
4734,MIRANDA J.,17.1,,,,,,tabella_prezzi_medi_asta_seed
4751,TOMORI,2.5,,,,,,tabella_prezzi_medi_asta_seed
4777,MCTOMINAY,151.10000000000002,,,,,,tabella_prezzi_medi_asta_seed
4807,HERMOSO,18.599999999999998,,,,,,tabella_prezzi_medi_asta_seed
4817,PEDRAZA,4,,,,,,tabella_prezzi_medi_asta_seed
4845,CORREIA T.,2.8,,,,,,tabella_prezzi_medi_asta_seed
4856,CHUKWUEZE,18.599999999999998,,,,,,tabella_prezzi_medi_asta_seed
