id,titolarita,accordo,presenze_web,fonti,ballottaggio_con,ballottaggio_pct,rigorista,stato,rientro_stimato,partite_saltate,fuori_lista
5585,1.0,1.0,30.1,4,,,1,,,,0
5589,1.0,1.0,30.4,4,,,,,,,0
5603,0.32,0.36,18.8,2,7410,,,,,,0
5620,0.814,0.629,27.2,4,4817,,,,,,0
5637,0.971,0.943,29.6,5,,,1,,,,0
5641,1.0,1.0,30.4,4,,,,,,,0
5672,0.0,1.0,0.0,0,,,,,,,1
5674,0.84,0.68,27.9,4,,,,,,,0
5675,1.0,1.0,30.4,4,,,,,,,0
5678,0.4,0.2,20.2,1,4433,38,,,,,0
5680,0.143,0.714,16.8,1,4911,,,,,,0
5685,0.171,0.657,17.2,1,,,,,,,0
5687,1.0,1.0,30.4,4,,,1,,,,0
5694,0.44,0.12,20.6,2,7023,58,,,,,0
5695,0.8,0.6,27.0,3,4845,,,,,,0
5701,0.971,0.943,29.9,5,,,,,,,0
5707,0.003,0.994,2.4,1,,,,,,,0
5725,0.0,1.0,14.5,0,,,,,,,0
5734,0.24,0.52,17.3,1,7556,,3,,,,0
5735,0.4,0.2,19.8,1,,,,lesione del flessore della gamba destra,2026-10-05,2,0
5739,0.714,0.429,25.5,3,,,,,,,0
5742,0.6,0.2,23.6,3,,,,,,,0
5750,1.0,1.0,30.4,4,,,,,,,0
5751,0.16,0.68,16.1,1,,,,,,,0
5757,0.4,0.2,20.2,1,,,,,,,0
5761,0.143,0.714,16.8,1,,,,,,,0
5791,1.0,1.0,30.4,4,,,,,,,0
5792,1.0,1.0,30.4,4,,,,,,,0
5800,0.586,0.171,23.8,3,6398|5500,55|,2,,,,0
5812,0.071,0.857,14.6,1,,,,,,,0
5813,0.0,1.0,0.0,0,,,,,,,1
5820,0.3,0.4,18.5,2,,,,,,,0
5823,1.0,1.0,30.4,4,2857,,,,,,0
5831,0.1,0.8,15.1,1,,,,,,,0
5833,1.0,1.0,30.4,5,,,,,,,0
5838,0.8,0.6,27.0,3,,,,,,,0
5840,0.24,0.52,17.5,1,,,,,,,0
5841,1.0,1.0,34.1,4,,,,,,,0
5844,0.44,0.12,21.5,2,6677,,,,,,0
5851,0.6,0.2,23.6,2,,,,,,,0
5858,0.8,0.6,27.2,3,,,,,,,0
5862,1.0,1.0,30.4,4,,,,,,,0
5872,0.16,0.68,17.0,1,,,,,,,0
5876,0.0,1.0,0.0,0,,,,,,,1
5877,0.16,0.68,16.1,1,,,,,,,0
5878,0.64,0.28,24.7,3,6145|7620,44|,,,,,0
5880,0.0,1.0,14.5,0,,,,noie fisiche,2026-09-11,0,0
5882,0.4,0.2,20.0,1,,,,,,,0
5885,0.08,0.84,14.8,1,,,,,,,0
5888,0.6,0.2,23.4,3,6646,72,,affaticamento muscolare,2026-09-18,1,0
5918,0.0,1.0,12.5,0,,,,lesione del collaterale mediale del ginocchio sinistro,2026-10-05,2,0
5946,1.0,1.0,30.4,4,,,,,,,0
5951,1.0,1.0,30.1,5,6752,,1,,,,0
5982,0.4,0.2,20.2,2,,,,,,,0
5994,0.1,0.8,15.1,1,,,,,,,0
5995,1.0,1.0,30.1,4,,,3,,,,0
5998,0.24,0.52,18.3,1,6506,,,,,,0
6005,0.16,0.68,17.0,1,,,,,,,0
6010,0.971,0.943,29.9,5,6815,,2,,,,0
6015,0.114,0.771,16.3,1,5504,,,,,,0
6020,0.6,0.2,24.0,2,7537,77,,,,,0
6021,0.8,0.6,27.0,4,,,,,,,0
6024,0.12,0.76,16.4,1,,,,,,,0
6039,0.0,1.0,13.0,0,,,,lesione del semimembranoso,2026-09-18,1,0
6042,1.0,1.0,30.4,5,6766,,,,,,0
6046,0.0,1.0,12.7,0,,,,"lesione del tendine del semimembranoso, operato",2026-10-05,2,0
6047,0.1,0.8,15.1,1,,,,,,,0
6052,1.0,1.0,30.1,4,,,2,,,,0
6054,0.44,0.12,21.5,2,,,,,,,0
6060,1.0,1.0,30.1,4,,,3,,,,0
6145,0.2,0.6,16.6,1,5878|2155,59|,,,,,0
6149,0.1,0.8,15.1,1,,,,,,,0
6151,0.8,0.6,27.2,3,,,,,,,0
6164,0.64,0.28,24.0,3,795,,2,,,,0
6170,0.4,0.2,20.9,1,7535,,,,,,0
6189,0.0,1.0,0.0,0,,,,,,,1
6190,0.24,0.52,18.3,1,,,,,,,0
6191,0.529,0.057,22.9,2,,,,,,,0
6202,0.14,0.72,15.8,1,4664,21,,,,,0
6204,1.0,1.0,30.1,4,,,,,,,0
6206,1.0,1.0,30.4,4,7561,56,,,,,0
