nome_maiuscolo,prezzo_medio_per_1000_crediti
VARELA G.,22.9
WINKS,2.1
OULAI,3.9
DESPLANCHES,1.8
MASCARDI,2.6
HAPPONEN,1.8
ALHASSANE,2.5
DE MARZI,1.8
KOFLER,2.1
COMERT,2.5
AMONDARAIN,2.4
FITZ-JIM,3.7
EL AZZOUZI A.,1.8
KOLO MUANI,257.1
ALAJBEGOVIC,57
BOWIE,20.5
VALDEPENAS,15.299999999999999
GEUBBELS,12.200000000000001
AKINSANMIRO,2.2
DIALLO O.,2.2
PAVARD,3.9
KOULIERAKIS,8.5
SOW,2.7
COUTO,27.099999999999998
AKPOGUMA,2.2
MITAJ,2.6
SATALINO,1.7
HALHAL,2.2
TOURÈ E.,23.8
MASTANTUONO,72.3
ROBINSON J.,2.3
PELLEGRINI LO.,3.6
CHALOBAH T.,32.800000000000004
KEVIN CARLOS,11.799999999999999
AURELIO,2
MOLINA N.,65.10000000000001
SCHMID,4.2
GRILLITSCH,2
PENEV,1.7
OBRADOR,4.3
ROMERO D.,15.299999999999999
TERZIC,2.2
SPENCE,41.300000000000004
RADUNOVIC,1.8
PISSERI,1.7
MILIK,2.3
CISSÈ A.,16.2
LONTANI,3
FORSON O.,2.2
VICARIO,92.1
MORA,82.69999999999999
FAVASULI,2.4
DE MARTIS,1.8
MONTIPÒ,1.9
MOREIRA,39.1
BLEVE,1.8
OMAR FAYED,1.7
ODENTHAL,2.5
FORTINI,3.4
COMOTTO,3.3
LAERKE,1.9
TOURÈ I.,2.1
JONES C.,31.7
LEYSEN F.,2.2
CINQUEGRANO,2.4
TERRACCIANO F.,3
ELMAS,4.3
BADIASHILE,7.9
SUTALO J.,3.7
OSMAJIC,2.9
FINI,2.4
DIAWARA S.,2
GRABARA,2.7
KAMBWALA,1.8
LULLI,4.4
FATAH,2.1
DI GENNARO,1.8
MOUT,2.1
FOE ONDOA,1.8
MAYE,1.7
TCHATO,2.1
BOBCEK,3.9
NGONGE,3.2
MROZEK,1.8
BIRLIGEA,2.1
PERRI,4.8
GONZALEZ N.,22.8
KESSIÈ,33.6
CIERVO,2.2
DROBNIC,1.9
BALERDI,2.7
THEATE,6.5
DEMBELÈ A.,2
HUTCHINSON,5.6
BELGHALI,5.4
MONTEIRO J.,2.6
MASSOLIN,3
CALETA-CAR,1.9
