fonte,squadra,modulo,posto,giocatore,ruolo,pct
fantacalcio.it,Atalanta,4-3-3,14,Bernasconi,D,60
fantacalcio.it,Atalanta,4-3-3,15,Zappacosta,D,60
fantacalcio.it,Atalanta,4-3-3,16,Kristensen T.,D,40
fantacalcio.it,Atalanta,4-3-3,17,Pasalic,C,60
fantacalcio.it,Atalanta,4-3-3,18,Kessiè,C,40
fantacalcio.it,Atalanta,4-3-3,19,Rowe,C,55
fantacalcio.it,Atalanta,4-3-3,20,Zalewski,C,40
fantacalcio.it,Atalanta,4-3-3,21,Raspadori,A,60
fantacalcio.it,Atalanta,4-3-3,22,Krstovic,A,60
fantacalcio.it,Frosinone,4-2-3-1,1,Palmisani,P,100
fantacalcio.it,Frosinone,4-2-3-1,2,Oyono A.,D,100
fantacalcio.it,Frosinone,4-2-3-1,3,Cittadini,D,100
fantacalcio.it,Frosinone,4-2-3-1,4,Calvani,D,100
fantacalcio.it,Frosinone,4-2-3-1,5,Bracaglia,D,100
fantacalcio.it,Frosinone,4-2-3-1,6,Masini,C,100
fantacalcio.it,Frosinone,4-2-3-1,7,Calò,C,100
fantacalcio.it,Frosinone,4-2-3-1,8,Fini,C,100
fantacalcio.it,Frosinone,4-2-3-1,9,Schmid,C,100
fantacalcio.it,Frosinone,4-2-3-1,10,Kvernadze,A,100
fantacalcio.it,Frosinone,4-2-3-1,11,Raimondo,A,100
fantacalcio.it,Frosinone,4-2-3-1,12,Desplanches,P,5
fantacalcio.it,Frosinone,4-2-3-1,13,Pisseri,P,1
fantacalcio.it,Frosinone,4-2-3-1,14,Monterisi,D,40
fantacalcio.it,Frosinone,4-2-3-1,15,Tchato,D,40
fantacalcio.it,Frosinone,4-2-3-1,16,Omar Fayed,D,20
fantacalcio.it,Frosinone,4-2-3-1,17,Terzic,D,40
fantacalcio.it,Frosinone,4-2-3-1,18,Amey,D,20
fantacalcio.it,Frosinone,4-2-3-1,19,Cichella,C,60
fantacalcio.it,Frosinone,4-2-3-1,20,Grillitsch,C,55
fantacalcio.it,Frosinone,4-2-3-1,21,Hasa,C,20
fantacalcio.it,Frosinone,4-2-3-1,22,El Azzouzi A.,C,30
fantacalcio.it,Frosinone,4-2-3-1,23,Zerbin,C,60
fantacalcio.it,Frosinone,4-2-3-1,24,Ghedjemis,A,50
fantacalcio.it,Frosinone,4-2-3-1,25,Birligea,A,60
fantacalcio.it,Frosinone,4-2-3-1,26,Bobcek,A,55
fantacalcio.it,Venezia,3-5-2,1,Stankovic F.,P,100
fantacalcio.it,Venezia,3-5-2,2,Schingtienne,D,100
fantacalcio.it,Venezia,3-5-2,3,Bella-Kotchap,D,100
fantacalcio.it,Venezia,3-5-2,4,Halhal,D,100
fantacalcio.it,Venezia,3-5-2,5,Hainaut,D,100
fantacalcio.it,Venezia,3-5-2,6,Perez K.,C,100
fantacalcio.it,Venezia,3-5-2,7,Busio,C,100
fantacalcio.it,Venezia,3-5-2,8,Sohm,C,100
fantacalcio.it,Venezia,3-5-2,9,Haps,D,100
fantacalcio.it,Venezia,3-5-2,10,Rrahmani Al.,A,100
fantacalcio.it,Venezia,3-5-2,11,Adams A.,A,100
fantacalcio.it,Venezia,3-5-2,12,Montipò,P,5
fantacalcio.it,Venezia,3-5-2,13,Grandi,P,1
fantacalcio.it,Venezia,3-5-2,14,Pozzi,P,1
fantacalcio.it,Venezia,3-5-2,15,Moreno M.,D,50
fantacalcio.it,Venezia,3-5-2,16,Mazzocchi,D,55
fantacalcio.it,Venezia,3-5-2,17,Gomes,D,25
fantacalcio.it,Venezia,3-5-2,18,Correia T.,D,55
fantacalcio.it,Venezia,3-5-2,19,Sagrado,D,25
fantacalcio.it,Venezia,3-5-2,20,Basic,C,60
fantacalcio.it,Venezia,3-5-2,21,Dagasso,C,25
fantacalcio.it,Venezia,3-5-2,22,Helgason,C,40
fantacalcio.it,Venezia,3-5-2,23,Fernandez T.,C,55
fantacalcio.it,Venezia,3-5-2,24,Yeboah J.,A,55
fantacalcio.it,Venezia,3-5-2,25,Lauberbach,A,35
fantacalcio.it,Venezia,3-5-2,26,Lisman,A,15
fantacalcio.it,Parma,3-5-2,1,Corvi,P,100
fantacalcio.it,Parma,3-5-2,2,Delprato,D,100
fantacalcio.it,Parma,3-5-2,3,Troilo,D,100
fantacalcio.it,Parma,3-5-2,4,Diego Carlos,D,100
fantacalcio.it,Parma,3-5-2,5,Britschgi,D,100
fantacalcio.it,Parma,3-5-2,6,Fabbian,C,100
fantacalcio.it,Parma,3-5-2,7,Keita M.,C,100
fantacalcio.it,Parma,3-5-2,8,Ordonez C.,C,100
fantacalcio.it,Parma,3-5-2,9,Valeri,D,100
fantacalcio.it,Parma,3-5-2,10,Romero D.,A,100
fantacalcio.it,Parma,3-5-2,11,Tourè E.,A,100
fantacalcio.it,Parma,3-5-2,12,Daffara,P,5
fantacalcio.it,Parma,3-5-2,13,Ghidotti,P,1
fantacalcio.it,Parma,3-5-2,14,Valenti,D,50
fantacalcio.it,Parma,3-5-2,15,Ndiaye,D,55
fantacalcio.it,Parma,3-5-2,16,Drobnic,D,30
fantacalcio.it,Parma,3-5-2,17,Carboni F.,D,25
fantacalcio.it,Parma,3-5-2,18,Cremaschi,C,40
fantacalcio.it,Parma,3-5-2,19,Konate A.,C,35
fantacalcio.it,Parma,3-5-2,20,Almqvist,C,55
fantacalcio.it,Parma,3-5-2,21,Sierro,C,25
fantacalcio.it,Parma,3-5-2,22,Lontani,A,60
fantacalcio.it,Parma,3-5-2,23,Elphege,A,55
fantacalcio.it,Parma,3-5-2,24,De Martis,A,15
fantacalcio.it,Parma,3-5-2,25,Frigan,A,40
fantacalcio.it,Monza,3-4-2-1,1,Thiam,P,100
fantacalcio.it,Monza,3-4-2-1,2,Kouadio,D,100
fantacalcio.it,Monza,3-4-2-1,3,Lucchesi,D,100
fantacalcio.it,Monza,3-4-2-1,4,Carboni A.,D,100
fantacalcio.it,Monza,3-4-2-1,5,Birindelli,D,100
fantacalcio.it,Monza,3-4-2-1,6,Akinsanmiro,C,100
fantacalcio.it,Monza,3-4-2-1,7,Folorunsho,C,100
fantacalcio.it,Monza,3-4-2-1,8,Mangas,D,100
fantacalcio.it,Monza,3-4-2-1,9,Forson O.,C,100
fantacalcio.it,Monza,3-4-2-1,10,Robinson J.,A,100
fantacalcio.it,Monza,3-4-2-1,11,Mota,A,100
fantacalcio.it,Monza,3-4-2-1,12,Tornqvist,P,5
fantacalcio.it,Monza,3-4-2-1,13,Strajnar,P,1
fantacalcio.it,Monza,3-4-2-1,14,Antov,D,20
fantacalcio.it,Monza,3-4-2-1,15,Goglichidze,D,55
fantacalcio.it,Monza,3-4-2-1,16,Bakoune,D,30
fantacalcio.it,Monza,3-4-2-1,17,Maye,D,35
fantacalcio.it,Monza,3-4-2-1,18,Colpani,C,60
fantacalcio.it,Monza,3-4-2-1,19,Foe Ondoa,C,55
fantacalcio.it,Monza,3-4-2-1,20,Colombo L.,C,35
fantacalcio.it,Monza,3-4-2-1,21,Mout,C,60
fantacalcio.it,Bologna,4-3-3,1,Skorupski,P,100
fantacalcio.it,Bologna,4-3-3,2,Holm,D,100
fantacalcio.it,Bologna,4-3-3,3,Heggem,D,100
fantacalcio.it,Bologna,4-3-3,4,Theate,D,100
fantacalcio.it,Bologna,4-3-3,5,Alhassane,D,100
fantacalcio.it,Bologna,4-3-3,6,Odgaard,C,100
fantacalcio.it,Bologna,4-3-3,7,Pobega,C,100
fantacalcio.it,Bologna,4-3-3,8,Ferguson,C,100
fantacalcio.it,Bologna,4-3-3,9,Bernardeschi,C,100
fantacalcio.it,Bologna,4-3-3,10,Piccoli,A,100
fantacalcio.it,Bologna,4-3-3,11,Cambiaghi,C,100
fantacalcio.it,Bologna,4-3-3,12,Pessina Mas.,P,5
fantacalcio.it,Bologna,4-3-3,13,Happonen,P,1
fantacalcio.it,Bologna,4-3-3,14,Zortea,D,55
fantacalcio.it,Bologna,4-3-3,15,Miranda J.,D,55
fantacalcio.it,Bologna,4-3-3,16,Helland,D,40
fantacalcio.it,Bologna,4-3-3,17,Vitik,D,35
fantacalcio.it,Bologna,4-3-3,18,De Silvestri,D,20
fantacalcio.it,Bologna,4-3-3,19,Moro N.,C,60
fantacalcio.it,Bologna,4-3-3,20,Amondarain,C,55
fantacalcio.it,Bologna,4-3-3,21,Mbangula,C,55
fantacalcio.it,Bologna,4-3-3,22,Dovbyk,A,60
fantacalcio.it,Bologna,4-3-3,23,Enem,A,15
fantacalcio.it,Sassuolo,4-3-3,1,Muric,P,100
fantacalcio.it,Sassuolo,4-3-3,2,Cinquegrano,D,100
fantacalcio.it,Sassuolo,4-3-3,3,Idzes,D,100
fantacalcio.it,Sassuolo,4-3-3,4,Leysen F.,D,100
fantacalcio.it,Sassuolo,4-3-3,5,Doig,D,100
