id,nome,squadra,ruolo,fonti_squadra,peso_titolare,titolarita_web,accordo,presenze_web,fonti_che_lo_schierano,ballottaggio_con,ballottaggio_id,ballottaggio_pct,rigorista_web,rigorista_fonti,stato,rientro_stimato,partite_saltate,fuori_lista
7612,Bobcek,Frosinone,A,5.0,2.1,0.42,0.16,20.3,2,,,,,0,,,,0
7615,Drobnic,Parma,D,5.0,0.6,0.12,0.76,15.4,1,,,,,0,,,,0
7618,Hutchinson,Milan,C,7.0,1.8,0.257,0.486,18.6,2,,,,,0,,,,0
7619,Monteiro J.,Lecce,C,7.0,3.1,0.443,0.114,21.5,3,Pierotti|N'Dri|Fatah,6549|7001|7602,|55|50,,0,,,,0
7620,Zeballos,Monza,A,5.0,1.0,0.2,0.6,16.6,1,Colpani,5878,,,0,,,,0
7621,Sugawara,Cagliari,D,7.0,1.0,0.143,0.714,15.8,1,,,,,0,,,,0
7622,Robinho Junior,Genoa,A,5.0,0.0,0.0,1.0,0.0,0,,,,,0,,,,1
7623,Gnonto,Fiorentina,A,5.0,1.1,0.22,0.56,16.9,1,,,,,0,,,,0
7624,Braganca,Torino,C,5.0,1.1,0.22,0.56,18.0,1,Mandragora,1933,,,0,,,,0
7625,Goncalves P.,Fiorentina,C,5.0,4.1,0.82,0.64,27.5,4,Njie,6827,62,1,2,,,,0
7626,Pompei,Atalanta,P,5.0,0.02,0.004,0.992,2.4,1,,,,,0,,,,0
7627,Enem,Bologna,A,5.0,0.3,0.06,0.88,14.2,1,,,,,0,,,,0
7628,Sierro,Parma,C,5.0,0.5,0.1,0.8,16.1,1,,,,,0,,,,0
